
Handles NPM(K)   PM(K)   WS(K)       CPU(s)    Id SI ProcessName                                 
    784     98  118224   28064        74.97  2260  6 powershell                                  
    138     12    6416   15600        66.97 39344  2 conhost                                     
    160     18    4468   13392        58.58  5544  0 bpcd                                        
   1286     89  157448  162268        54.41 38120  0 UMWorkerProcess                             
    343     19   14340   30120        47.34  2844  2 RuntimeBroker                               
    198     17    2252    7352        40.14  7676  0 svchost                                     
    308     25   10360   21628        39.66  2976  0 svchost                                     
    469     24   61804   39604        36.81  2956  0 MSExchangeHMRecovery                        
    273     13    2024    7732        36.42 22340  6 csrss                                       
    264     16   12376   21472        34.41 23220  3 RuntimeBroker                               
    342     24   12008   19952        30.52  4740  3 dwm                                         
    206     14    3544   12888        28.61  4836  0 dllhost                                     
    337     29    7120   18868        26.16 19032  2 taskhostw                                   
    355     21   14432   33024        25.39 29924  5 RuntimeBroker                               
    343     30   17576   26680        24.52 42760  5 dwm                                         
    422     32   15260   29100        18.61 34736  2 mmc                                         
    224     15    3752   12060        15.72  7952  0 rhs                                         
    346     33   22500   53200        14.94 40256  9 dwm                                         
    275     34   37936   44508        14.86 13536  0 ParserServer                                
    363     15    4656   20000        13.13 23036  3 sihost                                      
    378     16    5456   22992        10.94 18524  2 sihost                                      
    786     33   28492   32520        10.30  8344  2 ShellExperienceHost                         
    271     15    4844   13192         8.97  7944  0 rhs                                         
    270     48   21368   21340         8.39  3012  0 WMSvc                                       
    245     11    2364    9216         7.86 20588  3 csrss                                       
    163     11    3180   12836         7.36  4764  2 notepad                                     
    165     11    5752   14936         7.08 22632  2 conhost                                     
    304     14    2908   13908         6.22 53764  6 rdpclip                                     
     83      7    4832    8772         5.50 14808  0 conhost                                     
    313     29    6428   16596         5.16 27216  6 taskhostw                                   
    364     15    4400   20156         4.70 26128  5 sihost                                      
     91      8    1416    5572         4.59 17440  0 conhost                                     
    164     12    2540    7912         4.52  1372  0 svchost                                     
    314     18    4964   21884         4.50 23044  3 svchost                                     
    315     18    5144   22108         4.41  3132  2 svchost                                     
    204     20    2468    8748         4.28  2900  0 pbx_exchange                                
    115     12    1308    3732         3.97   684  1 csrss                                       
    371     47    8964   15964         3.94  2772  0 mqsvc                                       
    171     15    6420   14176         3.91  2384  0 svchost                                     
    163     11    2108   11756         3.86 19072  2 notepad                                     
    852     34   23284   13260         3.73 31728  6 ShellExperienceHost                         
    363     15    4224   19760         3.64 48612  6 sihost                                      
    310     12    1908    8604         3.41  8708  5 csrss                                       
    442     25   10316   40812         3.38   520  1 LogonUI                                     
    346     15    3744   15120         3.20 31692  5 rdpclip                                     
    155     12    5720   12872         3.19  3052  0 VGAuthService                               
    313     26    5252   16084         3.08 29436  5 taskhostw                                   
    509     27   13056   26764         3.06 20884  3 LogonUI                                     
   1122     60   55592   12600         2.81 17372  6 SearchUI                                    
     91      8    1416    5572         2.67 19084  0 conhost                                     
     83      7    1236    5132         2.41 23076  0 conhost                                     
    307     19   13620   28388         2.39  1076  1 dwm                                         
    248     11    2200   10208         2.31 22964  3 rdpclip                                     
    281     27    5632   15684         2.30 51040  9 taskhostw                                   
    205     16    3332    9952         2.30  5052  0 msdtc                                       
    336     19    5124   23352         2.14 38716  5 svchost                                     
    235     12    2240    8460         2.11 14376  9 csrss                                       
    203     14    4584   19680         2.00 45700  2 ApplicationFrameHost                        
    554     28   12176   25824         1.86 19468  2 SearchUI                                    
    429     32   15148    1244         1.84 50704  9 mmc                                         
    203      9    2344    8468         1.72 18948  2 winlogon                                    
    365     16    4904   21020         1.55 60164  9 sihost                                      
    310     18    4840   21956         1.45  8696  9 svchost                                     
    183     12   21304   14248         1.42  7872  0 SMSvcHost                                   
    184     12    2164   13504         1.42 26932  2 notepad                                     
    699     30   19160   36668         1.36 52820  9 ShellExperienceHost                         
    751     33   22520   16784         1.36 62756  5 ShellExperienceHost                         
    249     16    3648   14356         1.22 23096  3 taskhostw                                   
    184     12    2216   13536         1.20 39016  2 notepad                                     
    140     12    1728    6968         1.16  4088  0 svchost                                     
    491     11    2416    8624         1.06  1344  0 WUDFHost                                    
    493     26   62248   62412         1.45 12188  0 powershell                                  
    297     18    4668   21304         0.92 36764  6 svchost                                     
    277     17    5788   16348         0.92 62868  2 taskhostw                                   
    327     14    2748   14896         0.88 32532  9 rdpclip                                     
    555     29   12080   35588         0.83 60536  9 SearchUI                                    
    165     11    4048   12664         0.72 29144  5 conhost                                     
    693     29   15124   12360         0.72 23180  3 ShellExperienceHost                         
    557     28   12076   21316         0.64 25988  5 SearchUI                                    
     66      3     404    1224         0.56   456  0 smss                                        
    145      9    2132   10564         0.50 56848  5 dllhost                                     
    213     12    4412   14316         0.42  9044  9 RuntimeBroker                               
    566     29   12364   12124         0.39 22628  3 SearchUI                                    
    196      9    1968    7764         0.36 22320  3 winlogon                                    
    136     12    5636   15680         0.34 43552  6 conhost                                     
    184      9    1980    7716         0.33 51328  6 winlogon                                    
    183      8    1844    7428         0.30 59900  9 winlogon                                    
    105     10    5380     488         0.27 33724  9 conhost                                     
    199     14    3524   17708         0.23 32696  9 ApplicationFrameHost                        
    157      8    1912    8328         0.20   744  1 winlogon                                    
    105     10    5388   12984         0.19  8384  6 conhost                                     
     95      8    1300    5196         0.17   708  0 wininit                                     
    189      8    1876    7568         0.17 54676  5 winlogon                                    
     81      7    1056    5440         0.11 25372  9 rdpinput                                    
    235     13    2672   10292         0.11  5576  0 rhs                                         
     91      8    1400    5744         0.09 52672  0 conhost                                     
     37      5     928    3064         0.08 19136  2 fontdrvhost                                 
    138     11    2672    9152         0.06 56616  0 WmiPrvSE                                    
     38      4    1616    2624         0.06 44536  2 cmd                                         
     93      8    1560    5972         0.03 10820  0 conhost                                     
     38      4    1608    2568         0.03 16116  6 cmd                                         
     38      4    1604     224         0.03 58704  9 cmd                                         
     44      3    2624    2560         0.02 52988  0 cmd                                         
     38      4    1608    2540         0.02 54788  5 cmd                                         
      0      0       0       4                  0  0 Idle
