UID        PID  PPID  C STIME TTY          TIME CMD
root      2170     2  0 Sep10 ?        00:00:00 [nfsd]
root      2171     2  0 Sep10 ?        00:00:00 [nfsd]
root      2172     2  0 Sep10 ?        00:00:00 [nfsd]
root      2173     2  0 Sep10 ?        00:00:00 [nfsd]
root      2202     1  0 Sep10 ?        00:00:00 rpc.idmapd
root      2303     1  0 Sep10 ?        00:00:00 /usr/sbin/mcelog --daemon
root      2320     1  0 Sep10 ?        00:01:00 /usr/sbin/sshd
root      2331     1  0 Sep10 ?        00:03:12 xinetd -stayalive -pidfile /var/run/xinetd.pid
root      2345     1  0 Sep10 ?        00:00:00 /usr/sbin/vsftpd /etc/vsftpd/vsftpd.conf
root      2357     1  0 Sep10 ?        00:01:02 /usr/openv/netbackup/bin/vnetd -standalone
root      2372     1  0 Sep10 ?        00:01:09 /usr/openv/netbackup/bin/bpcd -standalone
root      2478     1  0 Sep10 ?        00:00:28 /usr/libexec/postfix/master
postfix   2500  2478  0 Sep10 ?        00:00:05 qmgr -l -t fifo -u
root      2507     1  0 Sep10 ?        00:00:00 /usr/sbin/abrtd
root      2519     1  0 Sep10 ?        00:00:14 crond
root      2534     1  0 Sep10 ?        00:00:00 /usr/sbin/atd
root      2547     1  0 Sep10 ?        00:00:00 rhnsd
root      2558     1  0 Sep10 ?        00:00:00 /usr/bin/rhsmcertd
root      2575     1  0 Sep10 ?        00:00:00 /usr/sbin/certmonger -S -p /var/run/certmonger.pid
root      2615     1  0 Sep10 tty1     00:00:00 /sbin/mingetty /dev/tty1
root      2618     1  0 Sep10 tty2     00:00:00 /sbin/mingetty /dev/tty2
root      2621     1  0 Sep10 tty3     00:00:00 /sbin/mingetty /dev/tty3
root      2624     1  0 Sep10 tty4     00:00:00 /sbin/mingetty /dev/tty4
root      2628     1  0 Sep10 tty5     00:00:00 /sbin/mingetty /dev/tty5
root      2631     1  0 Sep10 tty6     00:00:00 /sbin/mingetty /dev/tty6
root      6349     2  0 Oct05 ?        00:00:00 [kslowd000]
root      6350     2  0 Oct05 ?        00:00:00 [kslowd001]
root      6351     2  0 Oct05 ?        00:23:04 [nfsiod]
root     13994     2  0 Nov03 ?        00:00:05 [flush-253:5]
zabbix   14919     1  0 Oct12 ?        00:00:00 /usr/sbin/zabbix_agentd -c /etc/zabbix/zabbix_agentd.conf
zabbix   14920 14919  0 Oct12 ?        00:18:10 /usr/sbin/zabbix_agentd: collector [idle 1 sec]          
zabbix   14921 14919  0 Oct12 ?        00:04:15 /usr/sbin/zabbix_agentd: listener #1 [waiting for connection]
zabbix   14922 14919  0 Oct12 ?        00:04:14 /usr/sbin/zabbix_agentd: listener #2 [processing request]
zabbix   14923 14919  0 Oct12 ?        00:04:14 /usr/sbin/zabbix_agentd: listener #3 [waiting for connection]
zabbix   14924 14919  0 Oct12 ?        00:03:46 /usr/sbin/zabbix_agentd: active checks #1 [idle 1 sec]   
zabbix   14925 14919  0 Oct12 ?        00:03:43 /usr/sbin/zabbix_agentd: active checks #2 [idle 1 sec]   
zabbix   14926 14919  0 Oct12 ?        00:03:47 /usr/sbin/zabbix_agentd: active checks #3 [getting list of active checks]
zabbix   14927 14919  0 Oct12 ?        00:03:58 /usr/sbin/zabbix_agentd: active checks #4 [idle 1 sec]   
zabbix   14928 14919  0 Oct12 ?        00:04:06 /usr/sbin/zabbix_agentd: active checks #5 [idle 1 sec]   
zabbix   14929 14919  0 Oct12 ?        00:03:47 /usr/sbin/zabbix_agentd: active checks #6 [idle 1 sec]   
zabbix   14930 14919  0 Oct12 ?        00:04:05 /usr/sbin/zabbix_agentd: active checks #7 [idle 1 sec]   
