Image Name                     PID Session Name        Session#    Mem Usage
rhs.exe                       7952 Services                   0     12,060 K
bpinetd.exe                   5304 Services                   0     11,952 K
ManagementAgentHost.exe       3028 Services                   0     11,808 K
notepad.exe                  19072 RDP-Tcp#90                 2     11,756 K
dllhost.exe                  56848                            5     10,564 K
rhs.exe                       5576 Services                   0     10,292 K
rdpclip.exe                  22964                            3     10,208 K
vnetd.exe                     4912 Services                   0     10,132 K
msdtc.exe                     5052 Services                   0      9,952 K
csrss.exe                    20588                            3      9,216 K
WmiPrvSE.exe                 56616 Services                   0      9,152 K
conhost.exe                  14808 Services                   0      8,772 K
pbx_exchange.exe              2900 Services                   0      8,748 K
WUDFHost.exe                  1344 Services                   0      8,624 K
csrss.exe                     8708                            5      8,604 K
winlogon.exe                 18948 RDP-Tcp#90                 2      8,468 K
csrss.exe                    14376                            9      8,460 K
winlogon.exe                   744 Console                    1      8,328 K
svchost.exe                   1372 Services                   0      7,912 K
tasklist.exe                 28408 Services                   0      7,808 K
winlogon.exe                 22320                            3      7,764 K
csrss.exe                    22340                            6      7,732 K
winlogon.exe                 51328                            6      7,716 K
winlogon.exe                 54676                            5      7,568 K
winlogon.exe                 59900                            9      7,428 K
svchost.exe                   7676 Services                   0      7,352 K
csrss.exe                     9448 RDP-Tcp#90                 2      7,300 K
svchost.exe                   4088 Services                   0      6,968 K
svchost.exe                   2736 Services                   0      6,808 K
conhost.exe                  20744 Services                   0      5,960 K
csrss.exe                      600 Services                   0      5,760 K
conhost.exe                  52672 Services                   0      5,744 K
conhost.exe                  17440 Services                   0      5,572 K
conhost.exe                  19084 Services                   0      5,572 K
rdpinput.exe                 25372                            9      5,440 K
wininit.exe                    708 Services                   0      5,196 K
conhost.exe                  23076 Services                   0      5,132 K
csrss.exe                      684 Console                    1      3,732 K
fontdrvhost.exe              19136 RDP-Tcp#90                 2      3,064 K
vmtoolsd.exe                 55176                            9      2,776 K
cmd.exe                      44536 RDP-Tcp#90                 2      2,624 K
cmd.exe                      49668 Services                   0      2,612 K
cmd.exe                      16116                            6      2,568 K
cmd.exe                      54788                            5      2,540 K
sort.exe                     27920 Services                   0      2,392 K
mmc.exe                      50704                            9      1,244 K
smss.exe                       456 Services                   0      1,224 K
conhost.exe                  33724                            9        488 K
cmd.exe                      58704                            9        224 K
System Idle Process              0 Services                   0          4 K
